COUNTRY,SUBNATIO,SCHOOLID,SC01Q01,SC02Q01,SC02Q02,SC03Q01,SC04Q01,SC04Q02,SC04Q03,SC04Q04,SC05N01,SC05Q01,SC05Q02,SC05Q03,SC05Q04,SC05Q05,SC05Q06,SC05Q07,SC05Q08,SC05Q09,SC05Q10,SC05Q11,SC05Q12,SC05Q13,SC05Q14,SC06Q01,SC06Q02,SC07N01,SC07N10,SC07N20,SC07N30,SC08Q01,SC08Q02,SC08Q03,SC08Q05,SC08Q06,SC08Q07,SC08Q08,SC08Q09,SC08Q10,SC08Q11,SC08Q12,SC08Q13,SC08Q14,SC08Q15,SC08Q16,SC08Q17,SC08Q18,SC08Q19,SC08Q20,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC09Q05,SC09Q06,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC10Q06,SC11Q01,SC11Q02,SC11Q03,SC11Q04,SC11Q05,SC11Q06,SC11Q07,SC12Q01,SC12Q02,SC12Q03,SC12Q04,SC12Q05,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC13Q05,SC13Q06,SC13Q07,SC13Q08,SC14Q01,SC15Q01,SC15QN02,SC15Q02,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC18Q11,SC18Q21,SC18Q12,SC18Q22,SC18N13,SC18N23,SC18N14,SC18N24,SC18N15,SC18N25,SC18N16,SC18N26,SC19Q11,SC19Q21,SC19Q12,SC19Q22,SC19Q13,SC19Q23,SC19Q14,SC19Q24,SC19Q15,SC19Q25,SC20Q01,SC20Q02,SC20Q03,SC20Q04,SC21Q01,SC21Q02,SC21Q03,SC22Q01,SC22Q02,SC22Q03,SC23Q01,SC23Q02,SC23Q03,SC24Q01,SC24Q02,SC24Q03,SC24Q04,SC25Q01,SC25Q02,SC25Q03,SC25Q04,SC25Q05,SC25Q06,SC25Q07,SC25Q08,SC25Q09,SC25Q10,SC25Q11,SC25Q12,SC25Q13,SC26Q01A,SC26Q01B,SC26Q01C,SC26Q01D,SC26Q01E,SC26Q02A,SC26Q02B,SC26Q02C,SC26Q02D,SC26Q02E,SC26Q03A,SC26Q03B,SC26Q03C,SC26Q03D,SC26Q03E,SC26Q04A,SC26Q04B,SC26Q04C,SC26Q04D,SC26Q04E,SC26Q05A,SC26Q05B,SC26Q05C,SC26Q05D,SC26Q05E,SC26Q06A,SC26Q06B,SC26Q06C,SC26Q06D,SC26Q06E,SC26Q07A,SC26Q07B,SC26Q07C,SC26Q07D,SC26Q07E,SC26Q08A,SC26Q08B,SC26Q08C,SC26Q08D,SC26Q08E,SC26Q09A,SC26Q09B,SC26Q09C,SC26Q09D,SC26Q09E,SC26Q10A,SC26Q10B,SC26Q10C,SC26Q10D,SC26Q10E,SC26Q11A,SC26Q11B,SC26Q11C,SC26Q11D,SC26Q11E,SC26Q12A,SC26Q12B,SC26Q12C,SC26Q12D,SC26Q12E,SC27Q01A,SC27Q01B,SC27Q01C,SC27Q01D,SC27Q02A,SC27Q02B,SC27Q02C,SC27Q02D,SC27Q03A,SC27Q03B,SC27Q03C,SC27Q03D,SC27Q04A,SC27Q04B,SC27Q04C,SC27Q04D,SC27Q05A,SC27Q05B,SC27Q05C,SC27Q05D,SC27Q06A,SC27Q06B,SC27Q06C,SC27Q06D,SC27Q07A,SC27Q07B,SC27Q07C,SC27Q07D,SCHLSIZE,SCHLTYPE,SELECT,SMRATIO,STRATIO,SCHWEIGT,ABGROUP,SCHAUTON,SCMATBUI,SCMATEDU,STMORALE,STUDBEHA,TCHCONS,TCHPARTI,TCMORALE,TCSHORT,TEACBEHA,ASSESS,COMPLAN,COMPWEB,MACTIV,PCGIRLS,PROPCERT,PROPMA5A,PROPMATH,PROPQPED,RATCOMP,EXCOURSE,AUTRES,AUTCURR,MSTREL,STRATUM
840,8400,1,5,193,239,1,100,999,999,999,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,4,0,19,187,7,6,1,1,1,1,1,2,2,1,2,3,3,3,1,2,2,2,1,1,2,140,140,25,7,9999,9999,4,4,4,4,4,3,1,1,1,1,1,1,2,2,5,5,2,5,1,1,2,1,1,1,1,1,4,2,2,1,3,1,3,1,1,1,1,2,2,24,1,24,1,0,0,0,0,0,0,0,0,4,1,4,1,0,0,3,1,0,0,1,1,1,2,1,3,3,1,3,3,2,2,3,1,1,1,1,1,2,1,1,2,2,2,1,1,3,2,2,1,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,2,2,2,1,2,1,1,1,1,432,3,0,96,17.633,133.2432,3,.457,-.757,.629,1.987,.39,-.078,2.785,1.65,-1.203,.922,2,9,9,1,.553,1,1,.184,997,.324,2,4,4,.02,84000
840,8400,2,1,88,72,1,100,999,999,999,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,999,2,40,177,7,5,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60,45,10,3,60,60,1,1,4,4,4,3,2,2,2,2,1,2,2,3,5,4,2,3,1,1,1,1,1,1,1,1,4,1,2,1,2,2,3,1,1,1,1,2,2,15,999,15,999,1,999,0,999,0,999,0,999,3,999,2,999,1,999,999,999,999,999,1,1,1,2,2,1,3,1,1,3,2,2,3,2,2,2,1,2,1,2,2,3,2,2,2,3,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,160,3,3,53.333,10.667,405.8917,2,.047,1.488,2.2,.514,.39,-.078,-.418,.244,-.175,-.624,2,1,1,1,.45,1,.667,.2,997,.375,2,4,3,.09,84000
840,8400,3,5,440,400,1,94,0,3,3,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,8,2,65,184,9,6,3,3,1,3,3,1,1,1,3,3,1,3,1,3,3,2,4,2,3,168,151,0,5,168,168,4,4,3,4,4,2,1,2,1,2,1,1,2,2,5,5,3,5,1,1,1,1,1,1,1,1,4,1,1,1,2,2,2,3,2,1,1,2,1,63,1,53,999,7,999,0,999,0,999,10,999,8,999,6,999,2,999,0,999,0,999,1,2,1,1,2,3,3,2,2,3,2,2,3,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,840,3,1,105,13.228,87.99207,2,1.694,-.137,-.527,1.355,.09,-.078,-1.605,1.65,.931,.116,3,1,1,2,.476,.841,.75,.127,997,.2,1,6,4,.07,84000
840,8400,4,4,855,706,1,83,10,7,999,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,999,60,42,177,8,7,4,2,1,2,3,3,9,2,2,3,1,2,1,4,3,3,3,2,3,9998,500,0,30,9998,9998,1,4,3,4,3,4,2,2,2,9,2,2,3,2,5,4,1,5,1,2,1,9,1,2,1,2,4,1,1,1,3,1,3,1,9,1,2,2,1,86,3,71,999,0,999,8,999,7,999,3,999,12,999,998,999,998,999,998,999,0,999,2,2,1,2,2,2,3,1,2,3,2,3,3,2,2,2,2,3,3,2,2,2,2,3,2,3,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1561,3,1,130.083,17.84,26.6196,3,1.694,.146,-.853,-.593,-.2,-.078,-1.605,-.571,.764,-.382,2,9,9,1,.452,.826,999,.14,997,99,1,6,4,0,84000
840,8400,5,2,789,759,1,100,0,0,0,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,4,2,10,187,7,6,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,2,1,2,400,234,160,6,400,400,1,4,4,4,4,4,1,2,2,2,2,2,3,2,4,5,1,5,1,1,2,1,1,1,1,1,4,1,1,1,2,3,3,3,1,2,2,2,2,150,2,150,2,1,0,0,0,0,0,0,0,13,0,12,0,1,0,0,0,0,0,1,2,1,1,2,2,3,2,3,4,3,1,4,2,2,2,2,2,2,3,3,3,3,2,3,1,2,1,3,3,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1548,3,0,119.077,10.252,26.52538,2,.457,1.488,.265,.019,-.75,1.06,-1.605,-.571,-.516,-.624,2,1,1,0,.49,1,.923,.086,997,.258,1,6,2,.02,84000
840,8400,6,4,0,473,2,10,10,10,70,2,2,2,2,2,2,2,2,2,1,1,1,1,9,9,0,0,0,180,7,6,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,68,55,3,10,66,0,3,2,2,2,2,2,1,2,2,2,1,1,2,2,5,4,4,5,1,1,1,2,1,1,1,2,1,4,4,4,1,3,3,2,1,1,1,2,2,47,2,34,2,9,0,0,0,0,0,0,0,4,2,2,2,1,0,0,0,0,0,2,2,1,2,1,2,3,2,3,3,2,3,3,2,2,2,2,2,2,3,3,3,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,473,1,2,94.6,9.854,92.07718,3,1.694,1.488,.847,1.096,.39,-.078,-.01,-.571,-.516,-.135,3,0,.971,1,1,.729,.6,.104,997,.144,2,6,4,0,84000
840,8400,7,3,1088,1044,1,85,5,10,999,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,999,999,1,180,8,5,2,2,1,3,2,3,2,2,3,3,3,3,2,3,3,2,2,3,3,400,400,0,4,400,400,1,4,4,4,3,2,1,2,2,2,1,2,2,2,5,5,3,4,1,1,1,1,1,1,1,1,4,3,3,1,1,1,2,3,1,1,2,1,2,100,10,90,10,999,999,1,1,5,1,1,1,16,1,14,998,999,998,999,999,999,999,1,1,1,2,1,2,3,1,1,3,2,2,3,2,2,1,1,2,2,3,2,2,2,2,2,3,3,2,3,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2132,3,0,129.212,20.305,30.95938,3,1.694,-.757,-.527,.831,-.48,-.078,1.925,.642,.437,-.624,2,1,1,1,.49,.905,.875,.157,997,.188,2,6,4,.03,84000
840,8400,8,2,184,227,1,999,999,998,999,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,20,10,38,175,7,7,1,1,1,1,1,3,3,2,2,3,2,2,2,3,3,2,3,3,3,150,87,60,5,150,150,1,3,3,4,2,3,1,2,1,2,1,1,2,2,5,4,4,5,1,1,2,1,1,1,1,1,4,4,4,4,1,1,3,3,1,1,1,2,2,35,0,1,999,0,0,0,0,0,0,0,0,3,998,3,998,0,998,0,0,0,998,1,2,1,1,1,1,3,1,1,3,1,2,3,1,2,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,411,9,1,999,11.743,81.68179,3,.974,-.137,-.688,1.355,.09,-.078,-1.605,1.036,-1.203,-.135,3,1,1,1,.552,.029,1,.086,997,.365,2,5,4,0,84000
840,8400,9,2,544,609,1,99,999,999,1,2,2,2,2,2,2,2,2,2,1,1,1,1,9,1,999,5,12,180,7,6,1,1,1,2,1,3,1,1,1,2,1,2,1,1,1,1,1,1,1,363,205,125,33,9999,9999,1,4,4,4,4,4,1,2,2,2,2,2,2,2,5,5,2,5,1,2,2,2,2,2,2,2,4,1,1,1,2,9,9,9,1,1,1,9,9,89,999,998,999,18,999,0,999,0,999,0,999,10,0,10,0,0,0,10,0,0,0,1,2,1,2,1,2,4,2,3,4,2,3,4,2,2,1,1,2,4,2,2,3,2,2,2,2,2,2,2,3,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1153,3,0,115.3,12.955,96.59456,2,1.694,.446,2.2,.514,-.48,1.623,-.418,.642,-.516,-.624,2,9,9,1,.528,999,1,999,997,.315,2,6,4,.03,84000
840,8400,10,3,285,338,1,98,2,0,0,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,0,999,37,178,7,6,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,165,85,71,9,165,0,2,2,3,2,2,2,1,1,1,1,1,2,2,2,5,5,5,5,1,2,2,1,1,1,1,1,4,2,2,2,1,1,2,2,1,1,1,1,1,48,2,48,2,0,0,2,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,1,1,1,1,1,3,3,1,2,3,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,2,2,2,1,623,3,2,155.75,12.714,104.1044,3,1.694,1.488,1.113,1.637,.39,-.835,-.873,1.65,-1.203,.372,3,0,1,3,.543,1,1,.082,997,.265,2,6,4,.09,84000
